#Accession	Name	Function	Category	TC
TIGR02478	6PF1K_euk	6-phosphofructokinase	Other	708.4
TIGR02479	FliA_WhiG	RNA polymerase sigma factor, FliA/WhiG family	Other	189.6
TIGR02480	fliN	flagellar motor switch protein FliN	Cellular processes	84.05
TIGR02481	hemeryth_dom	hemerythrin-like metal-binding domain	Other	51.75
TIGR02482	PFKA_ATP	6-phosphofructokinase	Energy metabolism	371.35
TIGR02483	PFK_mixed	phosphofructokinase	Energy metabolism	430.55
TIGR02484	CitB	CitB domain protein	Other	246.6
TIGR02485	CobZ_N-term	precorrin 3B synthase CobZ	Biosynthesis of cofactors, prosthetic groups, and carriers	372.55
TIGR02486	RDH	reductive dehalogenase	Other	160.35
TIGR02487	NrdD	anaerobic ribonucleoside-triphosphate reductase	Purines, pyrimidines, nucleosides, and nucleotides	326.35
TIGR02488	flgG_G_neg	flagellar basal-body rod protein FlgG	Cellular processes	252.75
TIGR02489	flgE_epsilon	flagellar hook protein FlgE	Other	412.85
TIGR02490	flgF	flagellar basal-body rod protein FlgF	Cellular processes	178.5
TIGR02491	NrdG	anaerobic ribonucleoside-triphosphate reductase activating protein	Purines, pyrimidines, nucleosides, and nucleotides	126.1
TIGR02492	flgK_ends	flagellar hook-associated protein FlgK	Cellular processes	170.75
TIGR02493	PFLA	pyruvate formate-lyase 1-activating enzyme	Protein fate	231.75
TIGR02494	PFLE_PFLC	glycyl-radical enzyme activating protein	Other	174.35
TIGR02495	NrdG2	anaerobic ribonucleoside-triphosphate reductase activating protein	Purines, pyrimidines, nucleosides, and nucleotides	131.15
TIGR02497	yscI_hrpB_dom	type III secretion apparatus protein, YscI/HrpB, C-terminal domain	Protein fate	23.45
TIGR02498	type_III_ssaH	type III secretion system protein, SsaH family	Cellular processes	56.15
TIGR02499	HrpE_YscL_not	type III secretion apparatus protein, HrpE/YscL family	Protein fate	78.7
TIGR02500	type_III_yscD	type III secretion apparatus protein, YscD/HrpQ family	Protein fate	86
TIGR02501	type_III_yscE	type III secretion system protein, YseE family	Cellular processes	38.25
TIGR02502	type_III_YscX	type III secretion protein, YscX family	Protein fate	99.2
TIGR02503	type_III_SycN	type III secretion chaperone SycN	Protein fate	84.55
TIGR02504	NrdJ_Z	ribonucleoside-diphosphate reductase, adenosylcobalamin-dependent	Purines, pyrimidines, nucleosides, and nucleotides	399.95
TIGR02505	RTPR	ribonucleoside-triphosphate reductase, adenosylcobalamin-dependent	Purines, pyrimidines, nucleosides, and nucleotides	340.05
TIGR02506	NrdE_NrdA	ribonucleoside-diphosphate reductase, alpha subunit	Purines, pyrimidines, nucleosides, and nucleotides	341.05
TIGR02507	MtrF	tetrahydromethanopterin S-methyltransferase, F subunit	Other	25
TIGR02508	type_III_yscG	type III secretion protein, YscG family	Protein fate	97.15
TIGR02509	type_III_yopR	type III secretion effector, YopR family	Cellular processes	114
TIGR02510	NrdE-prime	ribonucleoside-diphosphate reductase, alpha chain	Purines, pyrimidines, nucleosides, and nucleotides	602.25
TIGR02511	type_III_tyeA	type III secretion effector delivery regulator, TyeA family	Other	25.9
TIGR02512	FeFe_hydrog_A	[FeFe] hydrogenase, group A	Other	405.95
TIGR02513	type_III_yscB	type III secretion system chaperone, YscB family	Other	90.05
TIGR02514	type_III_yscP	type III secretion system needle length determinant	Other	76.5
TIGR02515	IV_pilus_PilQ	type IV pilus secretin PilQ	Cell envelope	284.35
TIGR02516	type_III_yscC	type III secretion outer membrane pore, YscC/HrcC family	Protein fate	238.45
TIGR02517	type_II_gspD	type II secretion system protein D	Protein fate	351.35
TIGR02518	EutH_ACDH	acetaldehyde dehydrogenase (acetylating)	Other	620.1
TIGR02519	pilus_MshL	pilus (MSHA type) biogenesis protein MshL	Cell envelope	250.2
TIGR02520	pilus_B_mal_scr	type IVB pilus formation outer membrane protein, R64 PilN family	Protein fate	287.65
TIGR02521	type_IV_pilW	type IV pilus biogenesis/stability protein PilW	Other	154
TIGR02522	pilus_cpaD	pilus (Caulobacter type) biogenesis lipoprotein CpaD	Cell envelope	94.45
TIGR02523	type_IV_pilV	type IV pilus modification protein PilV	Protein fate	52.2
TIGR02524	dot_icm_DotB	Dot/Icm secretion system ATPase DotB	Other	463.3
TIGR02525	plasmid_TraJ	plasmid transfer ATPase TraJ	Mobile and extrachromosomal element functions	368.3
TIGR02526	eut_PduT	PduT-like ethanolamine utilization protein	Other	250.3
TIGR02527	dot_icm_IcmQ	Dot/Icm secretion system protein IcmQ	Other	99.1
TIGR02528	EutP	ethanolamine utilization protein, EutP	Energy metabolism	138.35
TIGR02529	EutJ	ethanolamine utilization protein EutJ family protein	Other	152.1
TIGR02530	flg_new	flagellar operon protein	Cellular processes	83.2
TIGR02531	yecD_yerC	TrpR homolog YerC/YecD	Unknown function	42.2
TIGR02532	IV_pilin_GFxxxE	prepilin-type N-terminal cleavage/methylation domain	Protein fate	16.3
TIGR02533	type_II_gspE	type II secretion system protein E	Protein fate	630.25
TIGR02534	mucon_cyclo	muconate and chloromuconate cycloisomerases	Other	334.95
TIGR02535	hyp_Hser_kinase	proposed homoserine kinase	Other	446.3
TIGR02536	eut_hyp	ethanolamine utilization protein	Other	152.6
TIGR02537	arch_flag_Nterm	archaeal flagellin N-terminal-like domain	Other	15.3
TIGR02538	type_IV_pilB	type IV-A pilus assembly ATPase PilB	Protein fate	675.65
TIGR02539	SepCysS	O-phospho-L-seryl-tRNA:Cys-tRNA synthase	Other	365.25
TIGR02540	gpx7	putative glutathione peroxidase Gpx7	Other	207.3
TIGR02541	flagell_FlgJ	flagellar rod assembly protein/muramidase FlgJ	Other	193
TIGR02542	T_forsyth_147	TANFOR domain	Other	67
TIGR02543	List_Bact_rpt	repeat, TIGR02543 family	Unknown function	20.95
TIGR02544	III_secr_YscJ	type III secretion apparatus lipoprotein, YscJ/HrcJ family	Protein fate	161.95
TIGR02546	III_secr_ATP	type III secretion apparatus H+-transporting two-sector ATPase	Protein fate	604.75
TIGR02547	casA_cse1	CRISPR type I-E/ECOLI-associated protein CasA/Cse1	Other	70.05
TIGR02548	casB_cse2	CRISPR type I-E/ECOLI-associated protein CasB/Cse2	Other	42.55
TIGR02549	CRISPR_DxTHG	CRISPR-associated DxTHG motif protein	Other	15.1
TIGR02550	flagell_flgL	flagellar hook-associated protein 3	Cellular processes	127.2
TIGR02551	SpaO_YscQ	type III secretion apparatus protein, YscQ/HrcQ family	Protein fate	100.8
TIGR02552	LcrH_SycD	type III secretion low calcium response chaperone LcrH/SycD	Other	104.8
TIGR02553	SipD_IpaD_SspD	type III effector protein IpaD/SipD/SspD	Other	219.25
TIGR02554	PrgH	type III secretion apparatus protein PrgH/EprH	Protein fate	188.6
TIGR02555	OrgA_MxiK	type III secretion apparatus protein OrgA/MxiK	Other	118.6
TIGR02556	cas_TM1802	CRISPR-associated protein, TM1802 family	Other	156.95
TIGR02557	HpaP	type III secretion protein HpaP	Other	184.8
TIGR02558	HrpB2	type III secretion protein HrpB2	Other	93.3
TIGR02559	HrpB7	type III secretion protein HrpB7	Other	134.4
TIGR02560	HrpB4	type III secretion protein HrpB4	Other	167.45
TIGR02561	HrpB1_HrpK	type III secretion protein HrpB1/HrpK	Other	123.85
TIGR02562	cas3_yersinia	CRISPR-associated helicase Cas3, subtype I-F/YPEST	Other	565.95
TIGR02563	cas_Csy4	CRISPR-associated endoribonuclease Cas6/Csy4, subtype I-F/YPEST	Other	36.25
TIGR02564	cas_Csy1	CRISPR type I-F/YPEST-associated protein Csy1	Other	169.4
TIGR02565	cas_Csy2	CRISPR type I-F/YPEST-associated protein Csy2	Other	154.1
TIGR02566	cas_Csy3	CRISPR type I-F/YPEST-associated protein Csy3	Other	157.55
TIGR02567	YscW	type III secretion system chaperone YscW	Other	58.2
TIGR02568	LcrE	type III secretion regulator YopN/LcrE/InvE/MxiC	Protein fate	89.5
TIGR02569	TIGR02569_actnb	TIGR02569 family protein	Hypothetical proteins	136.75
TIGR02570	cas7_GSU0053	CRISPR-associated protein GSU0053/csb1, Dpsyc system	Other	38
TIGR02571	ComEB	ComE operon protein 2	Other	219.45
TIGR02572	LcrR	type III secretion system regulator LcrR	Protein fate	139.5
TIGR02573	LcrG_PcrG	type III secretion protein LcrG	Other	90.8
TIGR02574	stabl_TIGR02574	putative addiction module component, TIGR02574 family	Mobile and extrachromosomal element functions	31.9
TIGR02577	cas_TM1794_Cmr2	CRISPR-associated protein Cas10/Cmr2, subtype III-B	Other	79.4
TIGR02578	cas_TM1811_Csm1	CRISPR-associated protein Cas10/Csm1, subtype III-A/MTUBE	Other	171.65
TIGR02579	cas_csx3	CRISPR-associated protein, Csx3 family	Other	55.4
TIGR02580	cas_RAMP_Cmr4	CRISPR type III-B/RAMP module RAMP protein Cmr4	Other	87
TIGR02581	cas_cyan_RAMP	CRISPR-associated RAMP protein, SSO1426 family	Other	108.05
TIGR02582	cas7_TM1809	CRISPR type III-A/MTUBE-associated RAMP protein Csm3	Other	90
TIGR02583	DevR_archaea	CRISPR-associated protein Cas7/Csa2, subtype I-A/APERN	Other	212.6
TIGR02584	cas_NE0113	CRISPR-associated protein, NE0113 family	Other	80.65
TIGR02585	cas_Cst2_DevR	CRISPR-associated protein Cas7/Cst2/DevR, subtype I-B/TNEAP	Other	72.75
TIGR02586	cas5_cmx5_devS	CRISPR-associated protein Cas5/DevS, subtype MYXAN	Other	111.5
TIGR02587	TIGR02587	putative integral membrane protein TIGR02587	Cell envelope	183.7
TIGR02588	TIGR02588	TIGR02588 family protein	Hypothetical proteins	95
TIGR02589	cas_Csd2	CRISPR-associated protein Cas7/Csd2, subtype I-C/DVULG	Other	182.25
TIGR02590	cas_Csh2	CRISPR-associated protein Cas7/Csh2, subtype I-B/HMARI	Other	171.55
TIGR02591	cas_Csh1	CRISPR-associated protein Cas8b/Csh1, subtype I-B/HMARI	Other	104.05
TIGR02592	cas_Cas5h	CRISPR-associated protein Cas5, subtype I-B/HMARI	Other	97
TIGR02593	CRISPR_cas5	CRISPR-associated protein Cas5	Other	17.8
TIGR02594	TIGR02594	TIGR02594 family protein	Other	70.55
TIGR02595	PEP_exosort	PEP-CTERM protein-sorting domain	Cell envelope	16
TIGR02596	TIGR02596	Verru_Chthon cassette protein D	Cell envelope	70
TIGR02597	TIGR02597	TIGR02597 family protein	Other	50
TIGR02598	TIGR02598	Verru_Chthon cassette protein B	Cell envelope	51.4
TIGR02599	TIGR02599	Verru_Chthon cassette protein C	Cell envelope	256.5
TIGR02600	Verru_Chthon_A	Verru_Chthon cassette protein A	Cell envelope	332.3
TIGR02601	autotrns_rpt	autotransporter-associated beta strand repeat	Protein fate	19.85
TIGR02602	8TM_EpsH	exosortase	Protein fate	105.55
TIGR02603	CxxCH_TIGR02603	putative heme-binding domain	Other	68.15
TIGR02604	Piru_Ver_Nterm	putative membrane-bound dehydrogenase domain	Other	122.2
TIGR02605	CxxC_CxxC_SSSS	putative regulatory protein, FmdB family	Regulatory functions	31.3
TIGR02606	antidote_CC2985	putative addiction module antidote protein, CC2985 family	Mobile and extrachromosomal element functions	46.2
TIGR02607	antidote_HigA	addiction module antidote protein, HigA family	Regulatory functions	47.7
TIGR02608	delta_60_rpt	delta-60 repeat domain	Other	76.5
TIGR02609	doc_partner	putative addiction module antidote	Mobile and extrachromosomal element functions	55.9
TIGR02610	PHA_gran_rgn	putative polyhydroxyalkanoic acid system protein	Other	40.25
TIGR02611	TIGR02611	TIGR02611 family protein	Hypothetical proteins	70.6
TIGR02612	mob_myst_A	mobile mystery protein A	Unknown function	122.6
TIGR02613	mob_myst_B	mobile mystery protein B	Other	124.4
TIGR02614	ftsW	cell division protein FtsW	Cellular processes	337.5
TIGR02615	spoVE	stage V sporulation protein E	Cellular processes	448.8
TIGR02616	tnaC_leader	tryptophanase leader peptide	Transcription	23.55
TIGR02617	tnaA_trp_ase	tryptophanase	Energy metabolism	825.8
TIGR02618	tyr_phenol_ly	tyrosine phenol-lyase	Energy metabolism	720.7
TIGR02619	TIGR02619	putative CRISPR-associated protein, APE2256 family	Other	37.45
TIGR02620	cas_VVA1548	putative CRISPR-associated protein, VVA1548 family	Other	46.35
TIGR02621	cas3_GSU0051	CRISPR-associated helicase Cas3, subtype Dpsyc	Other	218.25
TIGR02622	CDP_4_6_dhtase	CDP-glucose 4,6-dehydratase	Cell envelope	278.45
TIGR02623	G1P_cyt_trans	glucose-1-phosphate cytidylyltransferase	Cell envelope	300.25
TIGR02624	rhamnu_1P_ald	rhamnulose-1-phosphate aldolase	Other	400.95
TIGR02625	YiiL_rotase	L-rhamnose mutarotase	Energy metabolism	99.6
TIGR02627	rhamnulo_kin	rhamnulokinase	Other	527.95
TIGR02628	fuculo_kin_coli	L-fuculokinase	Energy metabolism	470.9
TIGR02629	L_rham_iso_rhiz	L-rhamnose catabolism isomerase	Energy metabolism	646.75
TIGR02630	xylose_isom_A	xylose isomerase	Energy metabolism	533.25
TIGR02631	xylA_Arthro	xylose isomerase	Other	447
TIGR02632	RhaD_aldol-ADH	rhamnulose-1-phosphate aldolase/alcohol dehydrogenase	Other	567.75
TIGR02633	xylG	D-xylose ABC transporter, ATP-binding protein	Transport and binding proteins	723.65
TIGR02634	xylF	D-xylose ABC transporter, D-xylose-binding protein	Transport and binding proteins	389.55
TIGR02635	RhaI_grampos	L-rhamnose isomerase	Energy metabolism	531.35
TIGR02636	galM_Leloir	galactose mutarotase	Other	397.65
TIGR02637	RhaS	rhamnose ABC transporter, rhamnose-binding protein	Other	342.25
TIGR02638	lactal_redase	lactaldehyde reductase	Energy metabolism	523.15
TIGR02639	ClpA	ATP-dependent Clp protease ATP-binding subunit ClpA	Protein fate	993.15
TIGR02640	gas_vesic_GvpN	gas vesicle protein GvpN	Cellular processes	266.8
TIGR02641	gvpC_cyan_rpt	gas vesicle protein GvpC repeat	Cellular processes	18.8
TIGR02642	phage_xxxx	uncharacterized phage protein	Mobile and extrachromosomal element functions	101.4
TIGR02643	T_phosphoryl	thymidine phosphorylase	Purines, pyrimidines, nucleosides, and nucleotides	570.7
TIGR02644	Y_phosphoryl	pyrimidine-nucleoside phosphorylase	Purines, pyrimidines, nucleosides, and nucleotides	409.05
TIGR02645	ARCH_P_rylase	putative thymidine phosphorylase	Other	434.6
TIGR02646	TIGR02646	TIGR02646 family protein	Hypothetical proteins	52.15
TIGR02647	DNA	TIGR02647 family protein	Hypothetical proteins	44.6
TIGR02648	rep_term_tus	DNA replication terminus site-binding protein	DNA metabolism	178.3
TIGR02649	true_RNase_BN	ribonuclease BN	Transcription	563.7
TIGR02650	RNase_Z_T_toga	ribonuclease Z, Thermotoga type	Transcription	507.05
TIGR02651	RNase_Z	ribonuclease Z	Transcription	292.95
TIGR02652	TIGR02652	TIGR02652 family protein	Hypothetical proteins	99.55
TIGR02653	Lon_rel_chp	conserved hypothetical protein	Hypothetical proteins	628.25
TIGR02654	circ_KaiB	circadian clock protein KaiB	Cellular processes	145.3
TIGR02655	circ_KaiC	circadian clock protein KaiC	Cellular processes	546.25
TIGR02656	cyanin_plasto	plastocyanin	Energy metabolism	87.85
TIGR02657	amicyanin	amicyanin	Energy metabolism	110.2
TIGR02658	TTQ_MADH_Hv	methylamine dehydrogenase (amicyanin) heavy chain	Energy metabolism	454.45
TIGR02659	TTQ_MADH_Lt	methylamine dehydrogenase (amicyanin) light chain	Energy metabolism	196.85
TIGR02660	nifV_homocitr	homocitrate synthase	Central intermediary metabolism	462.9
TIGR02661	MauD	methylamine dehydrogenase accessory protein MauD	Protein fate	188.6
TIGR02662	dinitro_DRAG	ADP-ribosyl-[dinitrogen reductase] hydrolase	Central intermediary metabolism	337.05
TIGR02663	nifX	nitrogen fixation protein NifX	Central intermediary metabolism	112
TIGR02664	nitr_red_assoc	conserved hypothetical protein	Other	110
TIGR02665	molyb_mobA	molybdenum cofactor guanylyltransferase	Biosynthesis of cofactors, prosthetic groups, and carriers	151.85
TIGR02666	moaA	molybdenum cofactor biosynthesis protein A	Biosynthesis of cofactors, prosthetic groups, and carriers	284.05
TIGR02667	moaB_proteo	molybdenum cofactor biosynthesis protein B	Biosynthesis of cofactors, prosthetic groups, and carriers	222.4
TIGR02668	moaA_archaeal	probable molybdenum cofactor biosynthesis protein A	Biosynthesis of cofactors, prosthetic groups, and carriers	325.25
TIGR02669	SpoIID_LytB	SpoIID/LytB domain	Unknown function	83.3
TIGR02670	cas_csx8	CRISPR-associated protein Cas8a1/Csx8, subtype I	Other	201.75
TIGR02671	cas_csx9	CRISPR-associated protein Cas8a2/Csx9, subtype I-A/APERN	Other	156.65
TIGR02672	cas_csm6	CRISPR type III-A/MTUBE-associated protein Csm6	Other	248.6
TIGR02673	FtsE	cell division ATP-binding protein FtsE	Cellular processes	264.85
TIGR02674	cas_cyan_RAMP_2	CRISPR-associated RAMP protein, Csx10 family	Other	177.3
TIGR02675	tape_meas_nterm	tape measure domain	Other	21.35
TIGR02677	TIGR02677	TIGR02677 family protein	Hypothetical proteins	165.85
TIGR02678	TIGR02678	TIGR02678 family protein	Hypothetical proteins	124.65
TIGR02679	TIGR02679	TIGR02679 family protein	Hypothetical proteins	196
TIGR02680	TIGR02680	TIGR02680 family protein	Hypothetical proteins	462.85
TIGR02681	phage_pRha	phage regulatory protein, Rha family	Mobile and extrachromosomal element functions	45.95
TIGR02682	cas_csx11	CRISPR-associated protein, Csx11 family	Other	248.95
TIGR02683	upstrm_HI1419	putative addiction module killer protein	Other	62.85
TIGR02684	dnstrm_HI1420	probable addiction module antidote protein	Mobile and extrachromosomal element functions	53.7
TIGR02685	pter_reduc_Leis	pteridine reductase	Other	321.7
TIGR02686	relax_trwC	conjugative relaxase domain	Mobile and extrachromosomal element functions	145.5
TIGR02687	TIGR02687	TIGR02687 family protein	Other	270.35
TIGR02688	TIGR02688	TIGR02688 family protein	Hypothetical proteins	329.3
TIGR02689	ars_reduc_gluta	arsenate reductase, glutathione/glutaredoxin type	Cellular processes	157.6
TIGR02690	resist_ArsH	arsenical resistance protein ArsH	Cellular processes	292.25
TIGR02691	arsC_pI258_fam	arsenate reductase (thioredoxin)	Cellular processes	174.3
TIGR02692	tRNA_CCA_actino	CCA tRNA nucleotidyltransferase	Protein synthesis	438.8
TIGR02693	arsenite_ox_L	arsenite oxidase, large subunit	Energy metabolism	359.05
TIGR02694	arsenite_ox_S	arsenite oxidase, small subunit	Energy metabolism	95.65
TIGR02695	azurin	azurin	Energy metabolism	105.1
TIGR02696	pppGpp_PNP	guanosine pentaphosphate synthetase I/polyribonucleotide nucleotidyltransferase	Other	1106.75
TIGR02697	WPE_wolbac	Wolbachia palindromic element domain	Mobile and extrachromosomal element functions	27.55
TIGR02698	CopY_TcrY	copper transport repressor, CopY/TcrY family	Transport and binding proteins	121.95
TIGR02699	archaeo_AfpA	archaeoflavoprotein AfpA	Energy metabolism	192.45
TIGR02700	flavo_MJ0208	archaeoflavoprotein, MJ0208 family	Unknown function	251.35
TIGR02701	shell_carb_anhy	carboxysome shell carbonic anhydrase	Central intermediary metabolism	241.05
TIGR02702	SufR_cyano	iron-sulfur cluster biosynthesis transcriptional regulator SufR	Regulatory functions	178.8
TIGR02703	carboxysome_A	carboxysome peptide A	Central intermediary metabolism	131.8
TIGR02704	carboxysome_B	carboxysome peptide B	Central intermediary metabolism	88.9
TIGR02705	nudix_YtkD	nucleoside triphosphatase YtkD	DNA metabolism	154.4
TIGR02706	P_butyryltrans	phosphate butyryltransferase	Energy metabolism	410.5
TIGR02707	butyr_kinase	butyrate kinase	Energy metabolism	289.1
TIGR02708	L_lactate_ox	L-lactate oxidase	Energy metabolism	645.5
TIGR02709	branched_ptb	branched-chain phosphotransacylase	Energy metabolism	475.15
TIGR02710	TIGR02710	CRISPR-associated protein, TIGR02710 family	Other	83.9
TIGR02711	symport_actP	cation/acetate symporter ActP	Transport and binding proteins	1099.25
TIGR02712	urea_carbox	urea carboxylase	Central intermediary metabolism	1303.85
TIGR02713	allophanate_hyd	allophanate hydrolase	Central intermediary metabolism	511.05
TIGR02714	amido_AtzD_TrzD	ring-opening amidohydrolases	Other	153.1
TIGR02715	amido_AtzE	amidohydrolase, AtzE family	Unknown function	425.75
TIGR02716	C20_methyl_CrtF	C-20 methyltransferase BchU	Biosynthesis of cofactors, prosthetic groups, and carriers	276.1
TIGR02717	AcCoA-syn-alpha	acetyl coenzyme A synthetase (ADP forming), alpha domain	Other	567.15
TIGR02718	sider_RhtX_FptX	siderophore transporter, RhtX/FptX family	Transport and binding proteins	356.15
TIGR02719	repress_PhaQ	poly-beta-hydroxybutyrate-responsive repressor	Regulatory functions	139.35
